Nº Projeto;Nome Projeto;Unidade;Município;Nome do Indicador;Tipo de Agregacao;Meta100;Meta300;Meta500;RESULTADO CICLO;RESULTADO PREVISTO;META CICLO;Meta Ano 
764;Plano de Relacionamento - Barueri;Sudeste;Barueri;Número de voluntários;Último Valor;7;9;10;5;8;0;200
765;Plano de Relacionamento - Cajamar;Sudeste;Cajamar;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
765;Plano de Relacionamento - Cajamar;Sudeste;Cajamar;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
765;Plano de Relacionamento - Cajamar;Sudeste;Cajamar;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;0;0;0
765;Plano de Relacionamento - Cajamar;Sudeste;Cajamar;Número de voluntários;Último Valor;7;9;10;7;8;100;200
766;Plano de Relacionamento - Itapecerica da Serra;Sudeste;Itapecerica da Serra;% satisfação em pesquisa;Último Valor;64;80;95;0;97;0;500
766;Plano de Relacionamento - Itapecerica da Serra;Sudeste;Itapecerica da Serra;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
766;Plano de Relacionamento - Itapecerica da Serra;Sudeste;Itapecerica da Serra;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;8;0;100
766;Plano de Relacionamento - Itapecerica da Serra;Sudeste;Itapecerica da Serra;Número de voluntários;Último Valor;6;7;8;0;7;0;300
767;Plano de Relacionamento - Itapeva;Sudeste;Itapeva;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
767;Plano de Relacionamento - Itapeva;Sudeste;Itapeva;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;0;0;0
767;Plano de Relacionamento - Itapeva;Sudeste;Itapeva;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;0;0;0
767;Plano de Relacionamento - Itapeva;Sudeste;Itapeva;Número de voluntários;Último Valor;17;20;23;0;0;0;0
768;Plano de Relacionamento - ITM;Sudeste;Itaú de Minas;% satisfação em pesquisa;Último Valor;64;80;95;0;96;0;500
768;Plano de Relacionamento - ITM;Sudeste;Itaú de Minas;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
768;Plano de Relacionamento - ITM;Sudeste;Itaú de Minas;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;40;0;500
768;Plano de Relacionamento - ITM;Sudeste;Itaú de Minas;Número de voluntários;Último Valor;43;52;61;0;35;0;0
769;Plano de Relacionamento - Limeira;Sudeste;Limeira;% satisfação em pesquisa;Último Valor;64;80;95;0;100;0;300
769;Plano de Relacionamento - Limeira;Sudeste;Limeira;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;1;2;100;300
769;Plano de Relacionamento - Limeira;Sudeste;Limeira;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;5;11;0;400
